,Item Code,Category,Type,Material
2136,DVTPNTNG-04 -- Tanjore painting,Home Decor,,Wood
2137,SLCHST-05 -- Old Burma Teak Brass Fitting,Home Decor,,Wood
2138,MDC-04 -- Dream Catcher,Home Decor,,Wood
2139,ARPNTNG-01 -- Painting,Home Decor,,Wood
2140,H2H0716-80 -- TODA,Home Decor,,Wood
2141,SAE0215-31 -- Brass cup plate std.,Home Decor,,Wood
2142,SAE0716-19 -- Brass Hook,Home Decor,,Wood
2143,LBPLT-02 -- Brass   Plate,Home Decor,,Wood
2144,SLADYA-03 -- Big Akash Diya,Home Decor,,Wood
2145,SA-AQLTBL-05 -- Bed side Table,Home Decor,,Wood
2146,"CH-JD/04-17/CAB-HW/02 -- Cabinet. Brass stars on top and shutters. White, L34''XW16''XH34''",Home Decor,,Wood
2147,EL088 -- MAPPLE CHIP AND DIP PLATTER,Home Decor,,Wood
2148,FLCO0404PG -- COASTERS PINK GOLD (SET OF 2),Home Decor,,Wood
2149,EL134 -- Block printed table cover- 6 seater,Home Decor,,Wood
2150,SAE0215-15 -- Brass Baby Box,Home Decor,,Wood
2151,SAE0215-11 -- Iron spoon/Jarya,Home Decor,,Wood
2152,RCCBWL-05 -- White Metal Glass Bowl,Home Decor,,Wood
2153,SAE0716-12 -- Brass Glass,Home Decor,,Wood
2154,EL093 -- Rustic Black Stone Bowl with Cane Weave,Home Decor,,Wood
2155,EL094 -- Rustic Black Stone Beer Mug with Cane Weave,Home Decor,,Wood
2156,SAE0317-18 -- BRASS MILK BHARANI SMALL,Home Decor,,Wood
2157,LAL0914-12 -- Wall Mirror,Home Decor,,Wood
2158,LAX-PNE-04-2017-CAB-TW-01 -- Teak wood cabinet_L40 W 15 h 78``,Home Decor,,Wood
2159,SNTY0914-03 -- Rug3x5,Home Decor,,Wood
2160,LAP0715-161 -- Cycle Iron wooden,Home Decor,,Wood
2161,SAE0317-03 -- BRASS STAMP,Home Decor,,Wood
2162,SMTML-03 -- truq temple Wooden Arch,Home Decor,,Wood
2163,SAE0317-33 -- WOODEN FRAME/ADV.SMALL,Home Decor,,Wood
2164,SNTY0914-01 -- Rug 4x6,Home Decor,,Wood
2165,PDNK- VW-110,Home Decor,,Wood
2166,A/R-23 -- Rose candle Holder,Home Decor,,Wood
2167,FE0115-14 -- Urali,Home Decor,,Wood
2168,SLLOB -- Loban,Home Decor,,Wood
2169,SAE0716-50 -- Pannel Hook,Home Decor,,Wood
2170,H2H0916-37 -- Console Table,Home Decor,,Wood
2171,SLLTHO-01 -- Litho Picture,Home Decor,,Wood
2172,SAE0317-14 -- BRASS LAGE/LOTA,Home Decor,,Wood
2173,SAE0716-27 -- Brass Plate On Std.,Home Decor,,Wood
2174,NAVAS-24 -- Glass Vase,Home Decor,,Wood
2175,SAE0215-03 -- W/C Frame Nevi Cut,Home Decor,,Wood
2176,SAE1013-16 -- Brass Spoon,Home Decor,,Wood
2177,LSPN010-54 -- Brass Spoon set of 2,Home Decor,,Wood
2178,RCC0515-03 -- Kerala Boat,Home Decor,,Wood
2179,SAE0317-01 -- GLASS BUTTER MAKER,Home Decor,,Wood
2180,LBFR-03 -- Wall art,Home Decor,,Wood
2181,SAE0317-04 -- BRASS ESTRAY,Home Decor,,Wood
2182,FE0115-09 -- Bird Feeder,Home Decor,,Wood
2183,FE0115-13 -- Urali,Home Decor,,Wood
2184,FE0115-24 -- Bird Feeder,Home Decor,,Wood
2185,NA0711-131 -- Red,Home Decor,,Wood
2186,SLFRT-01 -- Wooden Decorative Fruirts,Home Decor,,Wood
2187,PCZC/S-07 -- IRON CANDLE STAND,Home Decor,,Wood
2188,SAE0317-02 -- GLASS BOTTLE,Home Decor,,Wood
2189,SLSNAG-01 -- Stone Nag,Home Decor,,Wood
2190,RAC-08 -- Bird Cage,Home Decor,,Wood
2191,H2H4097 -- Iron Han Set/2,Home Decor,,Wood
2192,VNA-04 -- Iron Candle std,Home Decor,,Wood
2193,"LAP0715-149 -- 6"" Railway Clock",Home Decor,,Wood
2194,EL035 -- WHITE MOSAIC VATIVE,Home Decor,,Wood
2195,EL045 -- RUSTIC HOME WOODEN BLOCK,Home Decor,,Wood
2196,SLPDN-06 -- Brass Pandan,Home Decor,,Wood
2197,FC0311-11 --  Ceramic Pot,Home Decor,,Wood
2198,SLAGBT-04 -- Agarbatti,Home Decor,,Wood
2199,BHNA-A233 -- Tea Cups,Home Decor,,Wood
2200,MH-JD/04-17/BJT-HW/04-08 -- Wooden Stool,Home Decor,,Wood
2201,SAE0716-56 -- Hook,Home Decor,,Wood
2202,LBDH010-40 -- Brass Budha,Home Decor,,Wood
2203,CHTBX-02 -- Painted Tissue Box Small,Home Decor,,Wood
2204,AK163 -- NECKLACE,Home Decor,,Wood
2205,PCZ-13/IA -- Iron Animal,Home Decor,,Wood
2206,H2H0915-41 -- IRON CANDLE STAND,Home Decor,,Wood
2207,SAE0215-49 -- Hook Brass,Home Decor,,Wood
2208,LAP0716-95 -- Big Truck painted,Home Decor,,Wood
2209,EL099 -- Turquoise Filigree Lantern,Home Decor,,Wood
2210,SAE0317-10 -- BRASS TEA CATTLE,Home Decor,,Wood
2211,"LAP0715-148 -- 8"" Railway Clock",Home Decor,,Wood
