Index,Date,Quantity,Cost,GDP,CPI
8128,2014-03,1,1600.0,627.0799999999981,3
8129,2012-11,1,1422.0,0.0,1
8130,2014-02,2,3200.0,0.0,1
8131,2011-11,2,2850.0,0.0,-2
8132,2012-05,2,2844.44,0.0,2
8133,2013-12,2,3040.0,1041.2100000000028,-2
8134,2014-06,1,1600.0,697.5699999999997,6
8135,2010-09,4,6000.0,1163.2599999999984,2
8136,2013-01,2,3040.0,0.0,2
8137,2012-05,2,3200.0,0.0,2
8138,2012-11,2,3200.0,0.0,1
8139,2011-03,1,1425.0,-161.67000000000192,1
8140,2012-04,2,3200.0,0.0,1
8141,2011-12,2,3000.0,-116.04999999999927,1
8142,2014-03,2,3040.0,627.0799999999981,3
8143,2012-11,2,2880.0,0.0,1
8144,2014-03,1,1422.22,627.0799999999981,3
8145,2013-12,1,8550.0,1041.2100000000028,-2
8146,2016-04,1,9975.0,0.0,4
8147,2014-12,1,8550.0,1856.0400000000006,1
8148,2016-06,1,9975.0,1267.4199999999985,3
8149,2014-01,2,16740.0,0.0,1
